日期,吾黄,万杨,万醉,保4楼,萍姐,保黄,五洲,吾醉,吾湘,柳,保虾4,当日合计
1日,42,72,238,0,0,0,0,0,0,0,0,352
2日,0,32,238,820,54,368,0,0,0,0,0,1512
3日,54,0,66.5,0,238,42,68,0,0,0,0,468.5
4日,0,0,35000,0,0,72,0,0,0,0,0,35072
5日,0,0,777,0,0,0,0,0,0,0,0,777
6日,0,0,238,0,0,0,0,0,0,0,0,238
7日,0,0,66.5,0,0,0,0,0,0,0,0,66.5
8日,0,0,35.6,0,0,0,0,54,72,0,0,161.6
9日,0,0,0,0,0,0,0,0,0,0,0,0
10日,0,0,0,0,0,0,0,0,0,0,0,0
11日,0,0,0,0,0,0,0,0,0,256,0,256
12日,0,0,0,0,0,0,0,0,0,0,0,0
13日,0,0,0,0,0,0,0,0,0,330,0,330
14日,0,0,0,0,0,0,0,0,0,0,0,0
15日,0,0,0,0,0,0,0,0,0,0,0,0
16日,0,0,0,0,0,0,0,0,0,382,0,382
17日,0,0,0,0,0,0,0,0,0,0,0,0
18日,0,0,0,0,0,0,0,0,0,0,0,0
19日,0,0,0,0,0,0,0,0,0,0,0,0
20日,0,0,0,0,0,0,0,0,0,0,0,0
21日,0,0,0,0,0,0,0,0,0,0,0,0
22日,0,0,0,0,0,0,0,0,0,0,0,0
23日,0,0,0,0,0,0,0,0,0,0,0,0
24日,0,0,0,0,0,0,0,0,0,0,261,261
25日,0,0,0,0,0,0,0,0,0,0,0,0
26日,0,0,0,0,0,0,0,0,0,0,0,0
27日,0,0,0,0,0,0,0,0,0,0,0,0
28日,0,0,0,0,0,0,0,0,0,0,0,0
29日,0,0,0,0,0,0,0,0,0,0,0,0
30日,0,0,0,0,0,0,0,0,0,0,0,0
31日,0,0,0,102,0,0,0,0,0,0,0,102
本月合计,96,104,36659.6,922,292,482,68,54,72,968,261,39978.6
